"song_id","song","artist","spotify_track_id","spotify_artist_id","spotify_song","spotify_artist","album","track_url","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"S182","Born Naked","RuPaul ft. Clairy Browne","20GNVIllZWk2vF8p6Cz7uP","2SdOKxC1sSxEyv8JYERaNe","Born Naked (feat. Clairy Browne)","RuPaul","Born Naked","https://open.spotify.com/track/20GNVIllZWk2vF8p6Cz7uP",0.634,0.86,4,-3.55,1,0.206,0.0207,0,0.464,0.648,141.857,203253,4
"S172","Twist of Fate","Olivia Newton-John","7k7i5YHJSLTbBSuwnWtSBn","4BoRxUdrcgbbq1rxJvvhg9","Twist of Fate","Olivia Newton-John","Stranger Things (Soundtrack from the Netflix Original Series)","https://open.spotify.com/track/7k7i5YHJSLTbBSuwnWtSBn",0.608,0.737,1,-7.573,0,0.0369,0.212,0.000202,0.0995,0.632,164.345,217053,4
"S173","I Was Gonna Cancel","Kylie Minogue","4WiQmOTCwKGeq4IUKxQOZg","4RVnAU35WRWra6OZ3CbbMA","I Was Gonna Cancel","Kylie Minogue","Kiss Me Once (Special Edition)","https://open.spotify.com/track/4WiQmOTCwKGeq4IUKxQOZg",0.74,0.773,3,-5.667,0,0.062,0.00546,0.049,0.161,0.861,119.951,212733,4
"S174","Dreaming","Blondie","2Rn7bVL1FVYboc4c55RUdg","4tpUmLEVLCGFr93o8hFFIB","Dreaming","Blondie","Eat To The Beat","https://open.spotify.com/track/2Rn7bVL1FVYboc4c55RUdg",0.299,0.92,2,-3.377,1,0.0552,0.0048,0.00022,0.122,0.675,160.449,188494,4
"S175","Lovergirl","Teena Marie","13xKh7WqwxzEFYhYCJJwHg","61UT1Zj9dFgPAjZfwnsqsb","Lovergirl","Teena Marie","R&B: From Doo-Wop To Hip-Hop","https://open.spotify.com/track/13xKh7WqwxzEFYhYCJJwHg",0.73,0.756,9,-7.509,0,0.0492,0.0469,0.00333,0.235,0.827,123.604,259560,4
"S176","Break Free","Ariana Grande ft. Zedd","12KUFSHFgT0XCoiSlvdQi4","66CXWjxzNUsdJxJ2JdwvnR","Break Free","Ariana Grande","My Everything (Deluxe)","https://open.spotify.com/track/12KUFSHFgT0XCoiSlvdQi4",0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,214840,4
"S177","No More Lies","Michel'le","1Oz5bcZyzhiaEa3F06EiPY","4D0WfOUqTzqKysXt33VL3j","No More Lies","Michel'le","Michel'le","https://open.spotify.com/track/1Oz5bcZyzhiaEa3F06EiPY",0.834,0.871,10,-6.972,0,0.0821,0.15,0.0721,0.287,0.835,110.294,225840,4
"S178","I Think We're Alone Now","Tiffany","4uvjOKsp7mSjrDhWdkLPBY","4C3uGP8vRDzxrhJxZiOjTe","I Think We're Alone Now","Tiffany","Tiffany","https://open.spotify.com/track/4uvjOKsp7mSjrDhWdkLPBY",0.752,0.723,7,-12.126,1,0.0507,0.025,0.00354,0.0212,0.94,130.519,228840,4
"S179","Really Don't Care","Demi Lovato ft. Cher Lloyd","5vTPxzm4h2bY9rYyVrGEU5","6S2OmqARrzebs0tKUEyXyp","Really Don't Care","Demi Lovato","Demi","https://open.spotify.com/track/5vTPxzm4h2bY9rYyVrGEU5",0.706,0.728,7,-3.602,1,0.0852,0.123,0,0.185,0.851,121.017,201600,4
"S183","Applause","Lady Gaga","5ka2ajep9OAvU5Sgduhiex","1HY2Jd0NmPuamShAr6KMms","Applause","Lady Gaga","ARTPOP","https://open.spotify.com/track/5ka2ajep9OAvU5Sgduhiex",0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,212333,4
"S184","I Will Survive","Gloria Gaynor","7cv28LXcjAC3GsXbUvXKbX","6V6WCgi7waF55bJmylC4H5","I Will Survive - Single Version","Gloria Gaynor","20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor","https://open.spotify.com/track/7cv28LXcjAC3GsXbUvXKbX",0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,198066,4
"S185","Mesmerized (Freemasons Radio Edit)","Faith Evans","7Hp0SVTrhKOoapKrz7IMDK","00BbNEAprt1Bkzsh4jEVlw","Mesmerized - Freemasons Edit","Melissa Storm","Mesmerized","https://open.spotify.com/track/7Hp0SVTrhKOoapKrz7IMDK",0.597,0.96,3,-5.196,0,0.189,0.000426,0.553,0.373,0.857,125.936,202440,4
"S186","Call Me","Blondie","7HKxTNVlkHsfMLhigmhC0I","4tpUmLEVLCGFr93o8hFFIB","Call Me","Blondie","Call Me","https://open.spotify.com/track/7HKxTNVlkHsfMLhigmhC0I",0.554,0.833,2,-6.667,0,0.0347,0.000646,0.0025,0.0737,0.773,142.673,212227,4
"S187","Causing a Commotion","Madonna","3sX3c6QUPSAiKf77RZRf5B","6tbjWDEIzxoDsBA1FuhfPW","Causing a Commotion","Madonna","Who's That Girl Soundtrack","https://open.spotify.com/track/3sX3c6QUPSAiKf77RZRf5B",0.771,0.749,5,-10.628,0,0.0401,0.216,0.00184,0.135,0.854,119.875,261667,4
"S188","I Love It","Icona Pop ft. Charli XCX","6HZ9VeI5IRFCNQLXhpF4bq","1VBflYyxBhnDc9uVib98rw","I Love It (feat. Charli XCX)","Icona Pop","THIS IS... ICONA POP","https://open.spotify.com/track/6HZ9VeI5IRFCNQLXhpF4bq",0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,4
"S189","And I Am Telling You I'm Not Going","Jennifer Holliday","3ZPpFEandljtmTnz8D4trH","2ju2ZxMe9yBOnt1MkWo32t","And I Am Telling You I'm Not Going - Original Broadway Cast/1982","Jennifer Holliday","Dreamgirls: Original Broadway Cast Album (25th Anniversary Special Edition)","https://open.spotify.com/track/3ZPpFEandljtmTnz8D4trH",0.404,0.553,10,-7.555,1,0.0374,0.165,0.00215,0.572,0.259,123.38,244000,4
"S190","You Make Me Feel (Mighty Real)","Sylvester","0RnCUYXa7jhgTXtiMXF2PQ","5TGTpu4g8siFOIctZuQO7y","You Make Me Feel (Mighty Real)","Sylvester","Step II","https://open.spotify.com/track/0RnCUYXa7jhgTXtiMXF2PQ",0.629,0.851,5,-11.182,0,0.0294,0.0309,0.303,0.0947,0.961,130.7,400116,4
"S191","The Realness","RuPaul","1oSUTFfnEwftOTRxpLKWOY","2SdOKxC1sSxEyv8JYERaNe","The Realness (feat. Eric Kupper)","RuPaul","Realness","https://open.spotify.com/track/1oSUTFfnEwftOTRxpLKWOY",0.708,0.814,7,-5.737,0,0.045,0.00219,9.74e-05,0.109,0.858,125.991,205267,4
"S208","Cool for the Summer","Demi Lovato","3uwnnTQcHM1rDqSfA4gQNz","6S2OmqARrzebs0tKUEyXyp","Cool for the Summer","Demi Lovato","Confident","https://open.spotify.com/track/3uwnnTQcHM1rDqSfA4gQNz",0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,214740,4
"S209","Macho Man","Village People","22kv2NoeaD7qhTgShfZjIv","0dCKce6tJJdHvlWnDMwzPW","Macho Man","Village People","Macho Man","https://open.spotify.com/track/22kv2NoeaD7qhTgShfZjIv",0.745,0.593,5,-12.33,1,0.0439,0.0523,0,0.582,0.888,132.897,314800,4
"S210","U Wear It Well","RuPaul","60WR7ZzcpMx0Q5A0zoQsyM","2SdOKxC1sSxEyv8JYERaNe","U Wear It Well","RuPaul","Butch Queen","https://open.spotify.com/track/60WR7ZzcpMx0Q5A0zoQsyM",0.775,0.942,1,-5.44,1,0.0615,0.0284,1.01e-06,0.0612,0.801,126.05,178253,4
"S211","It's Not Right but It's Okay (Thunderpuss Remix)","Whitney Houston","5OqmLY18KXsZR1aGrXP3ZI","6XpaIBNiVzIetEPCWDvAFP","It's Not Right but It's Okay - Thunderpuss Mix/Remastered: 2000","Whitney Houston","Dance Vault Remixes - It's Not Right But It's Okay","https://open.spotify.com/track/5OqmLY18KXsZR1aGrXP3ZI",0.735,0.944,8,-4.872,1,0.041,0.01,0.00308,0.048,0.761,129.994,256640,4
"S212","So Emotional","Whitney Houston","4l2Edgdj4vla02GCh7YyAv","6XpaIBNiVzIetEPCWDvAFP","So Emotional","Whitney Houston","Whitney","https://open.spotify.com/track/4l2Edgdj4vla02GCh7YyAv",0.698,0.791,11,-10.012,0,0.0495,0.271,4.74e-05,0.199,0.809,119.081,276667,4
"S200","Love Shack","The B-52's","4W4wYHtsrgDiivRASVOINL","3gdbcIdNypBsYNu3iiCjtN","Love Shack","The B-52's","Cosmic Thing","https://open.spotify.com/track/4W4wYHtsrgDiivRASVOINL",0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,320680,4
"S201","Holding Out for a Hero","Bonnie Tyler","5Hyr47BBGpvOfcykSCcaw9","0SD4eZCN4Kr0wQk56hCdh2","Holding Out for a Hero - From ""Footloose"" Soundtrack","Bonnie Tyler","Secret Dreams and Forbidden Fire","https://open.spotify.com/track/5Hyr47BBGpvOfcykSCcaw9",0.616,0.685,9,-15.289,0,0.04,0.0245,1.13e-05,0.0491,0.895,150.055,348333,4
"S202","I Wanna Go","Britney Spears","5cCAZS9VhLGEDV4NCfieeg","26dSoYclwsYLMAKD3tpOr4","I Wanna Go","Britney Spears","Femme Fatale (Deluxe Version)","https://open.spotify.com/track/5cCAZS9VhLGEDV4NCfieeg",0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,210267,4
"S203","Woman Up","Meghan Trainor","2bUWLYU3s6sbQqlo7075Og","6JL8zeS1NmiOftqZTRgdTz","Woman Up","Meghan Trainor","Thank You (Deluxe Version)","https://open.spotify.com/track/2bUWLYU3s6sbQqlo7075Og",0.755,0.751,1,-4.322,0,0.051,0.00848,0.000368,0.32,0.27,104.942,208693,4
"S204","Music","Madonna","6amGdDb0ObH97JUNGeRbdf","6tbjWDEIzxoDsBA1FuhfPW","Music (Deep Dish Dot Com Radio Edit) - 2022 Remaster","Madonna","Finally Enough Love","https://open.spotify.com/track/6amGdDb0ObH97JUNGeRbdf",0.694,0.932,7,-8.417,1,0.0468,0.00122,0.03,0.229,0.828,127.96,251677,4
"S205","Finally","CeCe Peniston","0uqvSVhGgQTIdj9G51vhvv","5UoVLCWzOKMIJ9iioof9OD","Finally","CeCe Peniston","Finally","https://open.spotify.com/track/0uqvSVhGgQTIdj9G51vhvv",0.791,0.658,7,-11.128,1,0.0445,0.00653,0,0.0472,0.842,120.066,245000,4
"S206","Baby I'm Burnin'","Dolly Parton","2Asiem9O0YGuvvoAkz8aSq","32vWCbZh0xZ4o9gkz4PsEU","Baby I'm Burnin'","Dolly Parton","Heartbreaker","https://open.spotify.com/track/2Asiem9O0YGuvvoAkz8aSq",0.745,0.828,0,-9.576,1,0.046,0.0482,0.438,0.0967,0.971,133.942,156960,4
"S207","Greedy","Ariana Grande","1FFUXkoWIc9of8yOscGiaC","66CXWjxzNUsdJxJ2JdwvnR","Greedy","Ariana Grande","Dangerous Woman","https://open.spotify.com/track/1FFUXkoWIc9of8yOscGiaC",0.619,0.705,1,-5.335,1,0.099,0.0323,0,0.0919,0.844,109.975,214907,4
"S224","Ain't No Other Man","Christina Aguilera","7huo2wvrCgRucUsjdSDLQV","1l7ZsJRRS8wlW3WfJfPfNS","Ain't No Other Man","Christina Aguilera","Back To Basics","https://open.spotify.com/track/7huo2wvrCgRucUsjdSDLQV",0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,228907,4
"S235","Good as Hell","Lizzo","6KgBpzTuTRPebChN0VTyzV","56oDRnqbIiwx4mymNEv7dS","Good as Hell","Lizzo","Cuz I Love You (Super Deluxe)","https://open.spotify.com/track/6KgBpzTuTRPebChN0VTyzV",0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,159736,4
"S236","Nasty Girl","Vanity 6","2Omm6w4hmnS2B80zaqdJFA","0GQkTwFb7D3ePIpnxwYavf","Nasty Girl [In the Style of ""Vanity 6""]","Done Again","Vanity 6 - Nasty Girl (Reproduction)","https://open.spotify.com/track/2Omm6w4hmnS2B80zaqdJFA",0.904,0.429,5,-14.276,1,0.0833,0.3,0.00457,0.0933,0.857,118.037,304729,4
"S237","Call Me Mother","RuPaul","5LCKQ7PXZRIKnBbABb7ed0","2SdOKxC1sSxEyv8JYERaNe","Call Me Mother","RuPaul","American","https://open.spotify.com/track/5LCKQ7PXZRIKnBbABb7ed0",0.859,0.828,6,-6.925,0,0.0529,0.0156,0.000828,0.0205,0.36,124.023,201013,4
"S238","If","Janet Jackson","0t414ewhjcIiuPVF3QECz2","4qwGe91Bz9K2T8jXTZ815W","If","Janet Jackson","Janet","https://open.spotify.com/track/0t414ewhjcIiuPVF3QECz2",0.653,0.976,11,-5.173,0,0.0797,0.0374,0.00173,0.561,0.447,105.575,271640,4
"S239","Bang Bang","Jessie J, Ariana Grande, Nicki Minaj","0puf9yIluy9W0vpMEUoAnN","2gsggkzM5R49q6jpPvazou","Bang Bang","Jessie J","Sweet Talker (Deluxe Version)","https://open.spotify.com/track/0puf9yIluy9W0vpMEUoAnN",0.706,0.786,0,-3.417,0,0.091,0.26,0,0.38,0.751,150.028,199387,4
"S143","Nasty","Janet Jackson","07OzC5JlcaDwEkzWmvqp6y","4qwGe91Bz9K2T8jXTZ815W","Nasty","Janet Jackson","Control","https://open.spotify.com/track/07OzC5JlcaDwEkzWmvqp6y",0.839,0.89,1,-11.697,0,0.0628,0.452,0.0224,0.0866,0.575,103.652,243133,4
"S226","Best of My Love","The Emotions","2M2WJ7gBlcKNxdhyfPp9zY","64CuUOOirKmdAYLQSfaOyr","Best of My Love","The Emotions","Rejoice","https://open.spotify.com/track/2M2WJ7gBlcKNxdhyfPp9zY",0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,220560,4
"S228","Celebrity Skin","Hole","2V4Bc2I962j7acQj1N0PiQ","5SHQUMAmEK5KmuSb0aDvsn","Celebrity Skin","Hole","Celebrity Skin","https://open.spotify.com/track/2V4Bc2I962j7acQj1N0PiQ",0.438,0.905,9,-6.161,1,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,162667,4
"S229","Pound the Alarm","Nicki Minaj","0LohatbcUXRauoeMlR1jnS","0hCNtLu0JehylgoiP8L4Gh","Pound The Alarm","Nicki Minaj","Pink Friday ... Roman Reloaded","https://open.spotify.com/track/0LohatbcUXRauoeMlR1jnS",0.728,0.858,9,-3.686,1,0.0609,0.0403,4.26e-06,0.0241,0.591,125.054,205640,4
"S230","Man! I Feel Like a Woman!","Shania Twain","6sxptembJVty4sNtcPMAVz","5e4Dhzv426EvQe3aDb64jL","Man! I Feel Like A Woman!","Shania Twain","Come On Over","https://open.spotify.com/track/6sxptembJVty4sNtcPMAVz",0.657,0.639,10,-7.527,1,0.0412,0.581,0,0.278,0.674,124.882,234493,4
"S231","I'm Coming Out","Diana Ross","3SnGymj6ijE2iuUfWxLo1q","3MdG05syQeRYPPcClLaUGl","I'm Coming Out","Diana Ross","Diana","https://open.spotify.com/track/3SnGymj6ijE2iuUfWxLo1q",0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,323347,4
"S232","Cut to the Feeling","Carly Rae Jepsen","6EJiVf7U0p1BBfs0qqeb1f","6sFIWsNpZYqfjUpaCgueju","Cut To The Feeling","Carly Rae Jepsen","Cut To The Feeling","https://open.spotify.com/track/6EJiVf7U0p1BBfs0qqeb1f",0.71,0.909,2,-2.777,1,0.0639,0.0135,0.00123,0.303,0.648,115.001,207960,4
"S233","Groove Is in the Heart","Deee-Lite","2He3NOyqtLNE3RQPpeDdSb","4eQJIXFEujzhTVVS1gIfu5","Groove Is in the Heart","Deee-Lite","World Clique","https://open.spotify.com/track/2He3NOyqtLNE3RQPpeDdSb",0.694,0.881,1,-4.053,0,0.0701,0.0153,0.0196,0.0851,0.924,121.554,231787,4
"S234","New Attitude","Patti LaBelle","71DxDMPiElIeGgvJvtITXR","0ty0xha1dbprYIUAQufkFn","New Attitude","Patti LaBelle","Patti LaBelle's Greatest Hits","https://open.spotify.com/track/71DxDMPiElIeGgvJvtITXR",0.81,0.722,11,-7.101,0,0.0429,0.0877,0.000885,0.529,0.963,138.011,251160,4
"S258","The Best of Both Worlds","Hannah Montana","6Z0F3Mqj7tq1CBZo5qMlUg","7nU4hB040gTmHm45YYMvqc","The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version","Hannah Montana","Hannah Montana","https://open.spotify.com/track/6Z0F3Mqj7tq1CBZo5qMlUg",0.676,0.861,1,-3.645,1,0.0501,0.0512,0,0.0613,0.681,124.031,174120,3
"S271","No More Drama","Mary J. Blige","7nWsh14AHpnTzq1Xejz90U","1XkoF8ryArs86LZvFOkbyr","No More Drama","Mary J. Blige","No More Drama","https://open.spotify.com/track/7nWsh14AHpnTzq1Xejz90U",0.653,0.837,6,-6.818,0,0.124,0.534,7.12e-05,0.0784,0.64,97.914,326240,4
"S272","No Scrubs","TLC","1KGi9sZVMeszgZOWivFpxs","0TImkz4nPqjegtVSMZnMRq","No Scrubs","TLC","Fanmail","https://open.spotify.com/track/1KGi9sZVMeszgZOWivFpxs",0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4
"S273","Pride (A Deeper Love)","Aretha Franklin","28QaDWUgDnPPMBEhyn3OeF","7nwUJBm0HE4ZxD3f5cy5ok","A Deeper Love - A Deeper Mix","Aretha Franklin","Dance Vault Mixes - (Pride) A Deeper Love","https://open.spotify.com/track/28QaDWUgDnPPMBEhyn3OeF",0.75,0.923,11,-9.695,0,0.041,0.00771,0.000828,0.322,0.508,123.116,719507,4
"S274","SOS","Rihanna","30cSNer6TV8x2utjULVeQ5","5pKCCKE2ajJHZ9KAiaK11H","SOS","Rihanna","A Girl Like Me","https://open.spotify.com/track/30cSNer6TV8x2utjULVeQ5",0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,238920,4
"S275","Bootylicious","Destiny's Child","41nT1Sp6ChR65FbsdLlFHW","1Y8cdNmUJH7yBTd9yOvr5i","Bootylicious","Destiny's Child","Survivor","https://open.spotify.com/track/41nT1Sp6ChR65FbsdLlFHW",0.84,0.835,1,-4.386,0,0.275,0.00281,1.11e-06,0.152,0.637,103.376,207907,4
"S276","The Edge of Glory","Lady Gaga","0JNdS1n0ifOP25XvhwAMgM","1HY2Jd0NmPuamShAr6KMms","The Edge Of Glory","Lady Gaga","Born This Way","https://open.spotify.com/track/0JNdS1n0ifOP25XvhwAMgM",0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.952,320587,4
"S260","Work Bitch","Britney Spears","3KliPMvk1EvFZu9cvkj8p1","26dSoYclwsYLMAKD3tpOr4","Work Bitch","Britney Spears","Britney Jean (Deluxe Version)","https://open.spotify.com/track/3KliPMvk1EvFZu9cvkj8p1",0.629,0.824,9,-6.53,1,0.159,0.155,0.000628,0.0651,0.852,128.01,247960,4
"S262","Waiting for Tonight (Hex Hector Mix)","Jennifer Lopez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S264","Living in America","James Brown","4Y5yjzs9FFw5qIgfZBd43I","7GaxyUddsPok8BuhxN6OUW","Living in America - From ""Rocky IV"" Soundtrack","James Brown","Rocky IV","https://open.spotify.com/track/4Y5yjzs9FFw5qIgfZBd43I",0.754,0.854,0,-7.114,1,0.0363,0.00148,0.00692,0.0675,0.761,113.908,282840,4
"S266","I'm Your Baby Tonight","Whitney Houston","3SmPl0CGxvvkQCrTv7edEE","6XpaIBNiVzIetEPCWDvAFP","I'm Your Baby Tonight","Whitney Houston","I'm Your Baby Tonight","https://open.spotify.com/track/3SmPl0CGxvvkQCrTv7edEE",0.665,0.899,6,-7.75,1,0.0877,0.303,2.21e-06,0.445,0.873,165.16,299427,3
"S267","Last Dance","Donna Summer","29RcVe2M9l8rHyWHffBmjf","2eogQKWWoohI3BSnoG7E2U","Last Dance - Single Version","Donna Summer","Walk Away - Collector's Edition The Best Of 1977-1980","https://open.spotify.com/track/29RcVe2M9l8rHyWHffBmjf",0.341,0.721,3,-10.311,1,0.0801,0.131,0.00029,0.216,0.237,126.351,199800,4
"S268","Strut","Sheena Easton","6gFIFMI3tsrM5QojcvVMfZ","5dcOK4stT4JDkP6Dqhbz5s","Strut","Sheena Easton","A Private Heaven [Bonus Tracks Version]","https://open.spotify.com/track/6gFIFMI3tsrM5QojcvVMfZ",0.91,0.751,1,-11.29,1,0.039,0.295,0.00214,0.141,0.975,114.659,240960,4
"S269","Sorry Not Sorry","Demi Lovato","0yvPEnB032fojLfVluFjUv","6S2OmqARrzebs0tKUEyXyp","Sorry Not Sorry","Demi Lovato","Tell Me You Love Me","https://open.spotify.com/track/0yvPEnB032fojLfVluFjUv",0.706,0.643,11,-6.929,0,0.234,0.0242,0,0.262,0.885,143.931,203760,4
"S270","Hood Boy","Fantasia","3nPR2jfaPoiVhdLREuAwvg","7xAcVHPiirnUqfdqo0USb1","Hood Boy (feat. Big Boi) - Radio Edit","Fantasia","Fantasia","https://open.spotify.com/track/3nPR2jfaPoiVhdLREuAwvg",0.661,0.871,5,-2.841,0,0.292,0.0127,0,0.251,0.728,90.812,214427,4
"S284","Starships","Nicki Minaj","1oHNvJVbFkexQc0BpQp7Y4","0hCNtLu0JehylgoiP8L4Gh","Starships","Nicki Minaj","Pink Friday ... Roman Reloaded","https://open.spotify.com/track/1oHNvJVbFkexQc0BpQp7Y4",0.747,0.716,11,-2.457,0,0.075,0.135,0,0.251,0.751,125.008,210627,4
"S293","Kill the Lights","Alex Newell, DJ Cassidy ft. Nile Rodgers","4iCKHGl4ij4YMwFrUZLGEQ","2vGaSKEDFsVPBgcnGxqlBN","Kill The Lights (with Nile Rodgers) - Audien Remix","Alex Newell","Kill The Lights (with Nile Rodgers) [Remixes]","https://open.spotify.com/track/4iCKHGl4ij4YMwFrUZLGEQ",0.647,0.879,7,-0.93,1,0.0831,0.0837,1.98e-06,0.538,0.427,126.042,224762,4
"S294","1999","Prince","2QSUyofqpGDCo026OPiTBQ","5a2EaR3hamoenG9rDuVn8j","1999 - 2019 Remaster","Prince","1999","https://open.spotify.com/track/2QSUyofqpGDCo026OPiTBQ",0.864,0.826,10,-5.496,1,0.0814,0.23,2.36e-06,0.0663,0.596,118.955,373747,4
"S295","On the Floor","Jennifer Lopez ft. Pitbull","3C0nOe05EIt1390bVABLyN","2DlGxzQSjYe5N6G9nkYghR","On The Floor","Jennifer Lopez","Love?","https://open.spotify.com/track/3C0nOe05EIt1390bVABLyN",0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130,284867,4
"S296","I'm Like a Bird","Nelly Furtado","2aGw77pZqli064JiPuXYRi","2jw70GZXlAI8QzWeY2bgRc","I'm Like A Bird","Nelly Furtado","Whoa, Nelly! (Expanded Edition)","https://open.spotify.com/track/2aGw77pZqli064JiPuXYRi",0.623,0.607,10,-5.113,1,0.0353,0.147,3.29e-06,0.227,0.614,89.654,243160,4
"S297","Bring Back My Girls","RuPaul","7IM8lvafzONUM3aV6NZogU","2SdOKxC1sSxEyv8JYERaNe","Bring Back My Girls","RuPaul","You're a Winner, Baby","https://open.spotify.com/track/7IM8lvafzONUM3aV6NZogU",0.913,0.729,6,-7.964,0,0.0515,0.0108,0.000725,0.0764,0.492,120.009,163893,4
"S298","Survivor","Destiny's Child","2Mpj1Ul5OFPyyP4wB62Rvi","1Y8cdNmUJH7yBTd9yOvr5i","Survivor","Destiny's Child","Survivor","https://open.spotify.com/track/2Mpj1Ul5OFPyyP4wB62Rvi",0.514,0.911,1,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109,254027,4
